Column Count::2
Column Names::Word	Frequency
महतारी	156
देखत	156
इहां	156
अशोक	154
लउकत	154
दिहले	154
लायक	154
पीछे	154
देह	154
वे	154
चिन्ता	152
मिले	152
कमी	152
लेबे	152
करेला	152
कान	152
रहत	152
निर्मला	152
सौ	152
तहार	152
पाछा	150
लेत	150
साफ	150
लगली	150
कह	150
और	150
लागी	150
इहो	148
सही	148
लइकन	148
लगलन	148
उठल	148
शा	148
बहरा	146
वा	146
होता	146
आधुनिक	146
कइ	146
ऊहो	146
सुख	146
गइलीं	146
बु	146
नो	146
कब	144
नौकरी	144
राज	144
खेती	144
बहिन	144
खेत	144
मगर	144
लोक	144
खराब	142
परी	142
जल्दी	142
बनि	142
बोले	142
कोशिश	140
साँच	140
एने	140
डाक्टर	140
धीरे	140
टावन	140
खास	138
धन	138
खाड़	138
सोना	138
र्हो	138
कुल्हि	138
छो	138
प्रकृति	136
कठिन	136
सोचत	136
नीमन	136
चुनाव	136
देखते	136
शुभ	136
चीज	136
दिहलस	136
सुकन्या	136
बटुक	136
राजनीतिक	134
बार	134
लागेला	134
कुन्ती	134
जोखन	134
चाही	132
पढ़े	132
आर्थिक	132
मरद	132
चुप	132
रचना	132
लाख	132
बने	130
तेज	130
हईं	130
ध्यान	130
ध	130
खबर	130
श्री	130
हमन	130
बनावल	128
रोज	128
सहज	128
शनि	128
फूल	128
समस्या	126
रहला	126
तारीख	126
राजा	126
भो	126
चैकीदार	126
अगस्त	124
भोजपुरिया	124
किताब	124
तरे	124
सामाजिक	124
भारी	124
बलिया	124
सपना	124
देला	124
वर्ग	124
उमिर	124
ताकत	124
लगले	124
अइसे	124
सुन्दर	124
रउवा	124
य	124
लगभग	122
रुपया	122
कवना	122
व्यवस्था	122
पूजा	122
पति	122
काल	122
बड़हन	122
अं	122
सम्मेलन	120
बइठि	120
पी	120
खुशी	120
कहनी	120
नाटक	120
स्तर	118
डर	118
माता	118
जमाना	118
तले	118
एहिजा	118
बाड़ू	118
तय	118
मीता	118
गनउड़ी	118
लेखक	116
आखिर	116
ज्यादा	116
लाग	116
गइला	116
सबका	116
उनुकर	116
अपनी	116
लिहले	116
जबाब	116
मान	116
बोलल	116
बढ़ल	114
जाना	114
खुद	114
झूठ	114
निकलल	114
पढ़ाई	114
मुखिया	114
काकी	114
गलत	112
नइखन	112
ताल	112
कूल्हि	112
रास्ता	112
देखले	112
देव	112
शकुन्तला	112
लीं	112
हैं	112
ख्	112
आमी	112
इयवा	112
फैसन	112
लिहल	110
चर्चा	110
तथा	110
उदास	110
गइलें	110
धा	110
हमहूँ	110
सुने	108
विरोध	108
बेसी	108
उठा	108
धर्म	108
अनुभव	108
दिने	108
ओने	108
नु	108
टा	108
बरखा	106
पेट	106
अइसना	106
निर्माण	106
बता	106
रहित	106
अगिला	106
लाभ	106
छाती	106
कहलस	106
भे	106
नरेन	106
लगातार	104
अधिका	104
पुरान	104
मालूम	104
बलुक	104
लोर	104
ओकरे	104
देरी	104
मकान	104
करा	104
रोग	104
प्रमे	104
तवन	104
भुला	104
नी	104
कुँवर	104
द्धण्च	104
विशेष	102
बदल	102
पैदा	102
सफलता	102
पुलिस	102
मिलत	102
पावे	102
कहां	102
प्रक्रिया	102
नइहर	102
पा	102
नोकरी	102
दिल्ली	102
बदे	102
बहु	102
हौ	102
मदन	102
रामधनी	102
जेतना	100
कपड़ा	100
इतिहास	100
भला	100
सी	100
हाथे	100
नाही	100
मथुरा	100
ओहिजा	100
कमरा	100
प्रकाशन	100
दूध	100
तइयारी	98
मति	98
सामान	98
बाटे	98
तनिको	98
पावत	98
ओतने	98
एसे	98
तबले	98
तोहार	98
परे	98
सोचे	98
दुआर	98
पहिला	98
पृ	98
बेवस्था	98
फे	98
निरिमा	98
अधिकार	96
भारतीय	96
बीस	96
मानल	96
घाव	96
चाह	96
जेकर	96
अदिमी	96
करेके	96
बन्द	96
मदद	96
करेजा	96
कौनो	96
छुट्टी	96
सेवा	96
हवे	96
दवाई	96
चे	96
खे	96
खु	96
बाँके	96
सुमन	96
प्रति	94
देखल	94
सफल	94
विषय	94
लिखे	94
