Column Count::2
Column Names::Word	Frequency
सभा	125
हजार	125
गीत	124
बातक	124
खराब	124
प्रदेश	124
स्थिति	124
गवाही	124
लागि	122
लड़का	122
निकलि	122
एम्हर	122
गजानन	121
जायब	121
छह	121
दुनियाँ	121
बाल	120
मेल	120
पाप	120
उम्मीदवार	119
टिकट	119
बनाओल	119
मिथिलामे	119
कहलक	119
लैत	118
भेलाक	118
पड़ि	118
राखल	118
पाबि	118
सय	118
शब्द	118
तहिना	116
स्थान	116
धार्मिक	116
मड़रै	116
गेलैक	116
शुभ	116
लेलनि	116
प्रचार	115
मिलैत	115
किन्तु	114
सकल	114
पाइ	113
रहबाक	113
काफी	113
लिअ	113
दस	112
सरकारी	112
ओतय	112
ओतेक	112
बिहारकेँ	112
जिलाक	112
थीक	112
सन	112
पुछलथिन	112
बारे	112
सर्गमे	112
आदेश	111
बैसल	110
आठ	110
विआह	110
इलाकाक	110
आज्ञा	110
ओहिठाम	110
भ	110
अखनो	109
है	109
आखिर	109
भाषाक	109
राजाक	109
पार्टी	108
एको	108
परिवार	108
रोटी	108
ओही	108
आयत	108
खास	108
हेलो	108
दरिहरा	108
प्रस्तुत	108
कहिओ	107
सड़क	107
पटना	107
देवी	107
अधिकारी	107
पूजा	106
मिल	106
जोर	106
एकदम	106
आवाज	106
जयबाक	106
रानी	106
छात्र	105
बेटी	105
बाढ़ि	105
प्रार्थना	105
होयकेँ	105
जारी	105
दुनिया	105
ऊपर	105
फातमी	105
सोचि	104
विधायक	104
खुलि	104
दय	104
इलाका	104
रखैत	104
मास	104
लाख	104
अदि	104
महाकाव्यक	104
प्रभावित	103
पासवान	102
निर्दलीय	102
उपन्यास	102
किताब	102
पेंटिंग	102
कयलहुँ	102
जान	102
भाइ	102
भेलनि	102
चौधरी	101
करू	101
अगिला	100
पाछाँ	100
लड़की	100
आधार	100
बड़	100
लोकनिक	100
चुनावक	99
चीज	98
चाहय	98
चलल	98
जगह	98
गरीब	98
फोटो	98
पुरस्कार	98
मतदान	98
प्रगट	98
कार्यक्रमक	97
आजुक	97
जहाज	96
करताह	96
दर्शन	96
पाई	96
विद्यापति	96
पहुँचि	96
लय	96
चित्रण	96
आरजेडी	95
दास	95
नई	95
जानि	95
भाया	94
जीत	94
आबैत	94
फिल्म	94
मसीह	94
मुँह	93
कविता	93
परेशान	93
दिअ	93
हर	92
रूपेँ	92
महिला	92
दु	92
अकादेमी	92
सेवा	92
निवासी	92
फायदा	92
मूलक	92
छथिन	92
कहुना	91
परिचय	91
दौरान	91
एकरे	91
समस्त	91
प्रदेशक	91
भय	91
विवाहक	90
प्रकाशित	90
गाछ	90
योजना	90
प्रसिद्ध	90
लागत	90
पनिचोभ	90
पिताक	90
तैयो	90
हुनके	89
महत्व	89
अपनाकेँ	89
आम	89
सही	89
अशोक	89
आरोप	88
देर	88
